Throttle,Off_Accel,12
ES_LKAS,SET_1,1
ES_LKAS,LKAS_Output,0
ES_LKAS,LKAS_Request,0
BSD_RCTA,R_ADJACENT,0
BSD_RCTA,L_ADJACENT,0
BSD_RCTA,R_APPROACHING,0
BSD_RCTA,L_APPROACHING,0
Steering,Steering_Angle,6.5
Transmission,Gear,4
Transmission,RPM,1796
CVT,CVT_Gear,172
Engine_Stop_Start,Counter,0
Engine_Stop_Start,STOP_START_STATE,0
AC_State,AC_Mode,1
AC_State,AC_ON,3
Throttle,Signal1,0
Throttle,Engine_RPM,1796
Throttle,Signal2,8
Throttle,Throttle_Pedal,0
Throttle,Throttle_Cruise,0
Throttle,Throttle_Combo,0
Throttle,Signal3,3
Throttle,Off_Accel,12
Cruise_Buttons,Signal1,8.42035e+08
Cruise_Buttons,Main,0
Cruise_Buttons,Set,0
Cruise_Buttons,Resume,0
Cruise_Buttons,Signal2,0
ES_STATIC_1,SET_3,3
Steering,Steering_Angle,6.5
Brake_Pressure_L_R,Brake_1,25
Brake_Pressure_L_R,Brake_2,26
Brake_Pedal,Signal1,3
Brake_Pedal,Speed,0
Brake_Pedal,Signal2,14
Brake_Pedal,Brake_Lights,1
Brake_Pedal,Signal3,1
Brake_Pedal,Brake_Pedal,256
Brake_Pedal,Signal4,15579
Wheel_Speeds,FR,0
Wheel_Speeds,RR,0
Wheel_Speeds,FL,0
Wheel_Speeds,RL,0
G_Sensor,Lateral,0.3
G_Sensor,Longitudinal,0.1
Brake_Status,Signal1,5.71746e+13
Brake_Status,ES_Brake,0
Brake_Status,Signal2,4
Brake_Status,Brake,1
Brake_Status,Signal3,0
Steering_Torque_2,Steer_Torque_Output,10
Steering_Torque_2,Signal1,2
Steering_Torque_2,Steer_Torque_Sensor,-1
Steering_Torque_2,Steering_Active,0
Steering_Torque_2,Steering_Disabled,0
Steering_Torque,Steer_Error_1,0
Steering_Torque,Steer_Torque_Sensor,4
Steering_Torque,Steer_Error_2,0
Steering_Torque,Steer_Warning,0
Steering_Torque,Steering_Angle,6.5968
Steering_Torque,Steer_Torque_Output,10
Steering_2,Steering_Angle,6.6
Transmission,Gear,4
Transmission,RPM,1797
CVT,CVT_Gear,172
Throttle,Signal1,0
Throttle,Engine_RPM,1790
Throttle,Signal2,8
Throttle,Throttle_Pedal,0
Throttle,Throttle_Cruise,0
Throttle,Throttle_Combo,0
Throttle,Signal3,3
Throttle,Off_Accel,12
ES_LKAS,SET_1,1
ES_LKAS,LKAS_Output,0
ES_LKAS,LKAS_Request,0
Steering,Steering_Angle,6.5
Transmission,Gear,4
Transmission,RPM,1796
CVT,CVT_Gear,172
Engine_Stop_Start,Counter,0
Engine_Stop_Start,STOP_START_STATE,0
Steering_2,Steering_Angle,6.6
Transmission,Gear,4
Transmission,RPM,1781
CVT,CVT_Gear,172
Throttle,Signal1,0
Throttle,Engine_RPM,1790
Throttle,Signal2,8
Throttle,Throttle_Pedal,0
Throttle,Throttle_Cruise,0
Throttle,Throttle_Combo,0
